iter	Passed	Remaining
496	10055	5624
497	10072	5602
498	10092	5582
499	10111	5561
500	10132	5541
501	10149	5519
502	10168	5498
503	10187	5478
504	10205	5456
505	10224	5435
506	10243	5414
507	10260	5393
508	10279	5371
509	10299	5351
510	10317	5330
511	10335	5309
512	10354	5288
513	10373	5267
514	10392	5246
515	10412	5226
516	10433	5206
517	10452	5185
518	10472	5165
519	10492	5145
520	10510	5124
521	10529	5103
522	10547	5082
523	10564	5060
524	10583	5039
525	10603	5019
526	10622	4998
527	10642	4978
528	10660	4957
529	10678	4936
530	10697	4915
531	10717	4895
532	10736	4874
533	10755	4854
534	10774	4833
535	10794	4813
536	10812	4792
537	10831	4771
538	10850	4750
539	10868	4729
540	10887	4709
541	10905	4688
542	10921	4666
543	10939	4645
544	10957	4624
545	10976	4603
546	10995	4583
547	11014	4562
548	11032	4541
549	11051	4520
550	11068	4499
551	11086	4478
552	11104	4457
553	11124	4437
554	11141	4416
555	11160	4395
556	11178	4374
557	11198	4354
558	11216	4334
559	11235	4313
560	11253	4292
561	11271	4272
562	11291	4251
563	11312	4232
564	11328	4210
565	11348	4190
566	11367	4170
567	11386	4149
568	11414	4132
569	11433	4112
570	11453	4092
571	11472	4071
572	11491	4051
573	11510	4030
574	11528	4009
575	11547	3989
576	11565	3968
577	11585	3948
578	11603	3928
579	11623	3908
580	11639	3886
581	11657	3865
582	11675	3845
583	11691	3823
584	11709	3803
585	11728	3782
586	11747	3762
587	11765	3741
588	11783	3721
589	11802	3700
590	11821	3680
591	11840	3660
592	11857	3639
593	11875	3618
594	11893	3598
595	11911	3577
596	11931	3557
597	11950	3537
598	11970	3517
599	11988	3496
600	12008	3476
601	12027	3456
602	12046	3436
603	12064	3415
604	12083	3395
605	12101	3374
606	12120	3354
607	12138	3334
608	12156	3313
609	12175	3293
610	12195	3273
611	12212	3252
612	12232	3232
613	12249	3212
614	12266	3191
615	12286	3171
616	12306	3151
617	12324	3130
618	12342	3110
619	12359	3089
620	12390	3072
621	12408	3052
622	12426	3031
623	12442	3010
624	12460	2990
625	12479	2970
626	12496	2949
627	12516	2929
628	12534	2909
629	12552	2889
630	12571	2868
631	12589	2848
632	12608	2828
633	12626	2808
634	12645	2787
635	12662	2767
636	12681	2747
637	12699	2727
638	12718	2706
639	12736	2686
640	12754	2666
641	12771	2645
642	12789	2625
643	12807	2605
644	12827	2585
645	12844	2565
646	12863	2544
647	12883	2525
648	12901	2504
649	12920	2484
650	12938	2464
651	12956	2444
652	12975	2424
653	12994	2404
654	13013	2384
655	13031	2363
656	13050	2343
657	13067	2323
658	13088	2303
659	13107	2283
660	13125	2263
661	13142	2243
662	13159	2223
663	13177	2202
664	13194	2182
665	13213	2162
666	13230	2142
667	13248	2122
668	13268	2102
669	13288	2082
670	13308	2062
671	13326	2042
672	13344	2022
673	13362	2002
674	13382	1982
675	13400	1962
676	13417	1942
677	13434	1922
678	13454	1902
679	13472	1882
680	13492	1862
681	13510	1842
682	13529	1822
683	13547	1802
684	13567	1782
685	13585	1762
686	13604	1742
687	13623	1722
688	13642	1702
689	13658	1682
690	13674	1662
691	13692	1642
692	13709	1622
693	13727	1602
694	13746	1582
695	13765	1562
696	13782	1542
697	13801	1522
698	13821	1502
699	13842	1483
700	13860	1463
701	13878	1443
702	13897	1423
703	13913	1403
704	13932	1383
705	13952	1363
706	13970	1343
707	13989	1323
708	14009	1304
709	14027	1284
710	14045	1264
711	14063	1244
712	14083	1224
713	14100	1204
714	14119	1184
715	14139	1165
716	14157	1145
717	14177	1125
718	14196	1105
719	14215	1085
720	14233	1066
721	14252	1046
722	14272	1026
723	14289	1006
724	14308	986
725	14327	966
726	14346	947
727	14365	927
728	14383	907
729	14403	887
730	14421	868
731	14442	848
732	14461	828
733	14479	808
734	14499	789
735	14518	769
736	14538	749
737	14556	729
738	14574	709
739	14591	690
740	14611	670
741	14631	650
742	14651	631
743	14670	611
744	14690	591
745	14707	571
746	14728	552
747	14745	532
748	14764	512
749	14783	492
750	14802	473
751	14821	453
752	14840	433
753	14858	413
754	14877	394
755	14893	374
756	14913	354
757	14930	334
758	14948	315
759	14966	295
760	14984	275
761	15002	255
762	15024	236
763	15045	216
764	15062	196
765	15083	177
766	15100	157
767	15121	137
768	15141	118
769	15162	98
770	15180	78
771	15199	59
772	15217	39
773	15235	19
774	15252	0
