iter	RMSE
317	2005.756586
318	2005.308374
319	2004.541486
320	2003.929121
321	2002.980126
322	2002.470611
323	2001.889109
324	2001.25683
325	2000.582372
326	1999.584005
327	1999.001902
328	1998.264594
329	1997.601202
330	1996.870101
331	1996.320159
332	1995.555805
333	1994.620492
334	1992.996618
335	1992.39634
336	1991.832068
337	1990.658703
338	1990.018485
339	1989.336136
340	1988.795466
341	1988.425344
342	1987.700273
343	1986.630267
344	1986.260737
345	1985.692717
346	1985.330651
347	1984.76242
348	1983.998384
349	1983.618336
350	1982.672741
351	1982.03312
352	1981.062574
353	1980.269928
354	1979.262276
355	1978.741489
356	1978.059588
357	1977.488699
358	1976.839296
359	1976.109954
360	1974.657982
361	1974.194646
362	1973.61504
363	1972.949222
364	1972.309034
365	1971.360725
366	1970.624131
367	1969.939319
368	1969.024174
369	1968.481011
370	1967.797135
371	1967.135194
372	1966.469425
373	1965.626177
374	1964.874008
375	1964.075097
376	1963.650232
377	1963.065266
378	1962.593403
379	1962.030648
380	1960.72007
381	1960.315778
382	1959.723916
383	1959.17316
384	1958.774295
385	1957.738239
386	1957.170922
387	1956.622569
388	1956.039422
389	1955.597165
390	1954.921845
391	1954.386571
392	1953.865571
393	1953.438575
394	1952.928079
395	1952.23276
396	1951.597311
397	1951.212719
398	1950.763359
399	1950.213818
400	1949.314682
401	1948.571994
402	1947.715565
403	1947.2823
404	1946.706489
405	1946.011526
406	1945.262691
407	1944.162635
408	1943.712652
409	1943.441487
410	1943.005627
411	1942.560987
412	1942.129935
413	1941.350086
414	1940.678456
415	1940.290254
416	1939.66028
417	1939.187755
418	1938.797987
419	1938.534759
420	1937.531417
421	1936.98423
422	1936.821893
423	1936.031097
424	1935.451705
425	1935.049625
426	1934.419018
427	1933.909847
428	1933.541269
429	1932.854345
430	1932.378466
431	1931.998211
432	1931.616841
433	1931.352191
434	1930.477642
435	1930.035622
436	1929.647028
437	1929.079258
438	1928.662198
439	1928.273858
440	1927.853851
441	1927.37505
442	1927.047975
443	1926.788729
444	1926.103883
445	1925.750963
446	1925.178018
447	1925.000743
448	1924.5617
449	1923.991729
450	1923.351131
451	1922.845268
452	1922.039391
453	1921.567869
454	1921.40254
455	1920.915396
456	1920.615299
457	1920.289434
458	1919.459456
459	1919.233487
460	1918.803694
461	1918.403143
462	1917.957576
463	1917.632903
464	1917.345678
465	1916.576606
466	1915.733959
467	1914.719473
468	1913.741018
469	1913.41975
470	1913.029085
471	1912.648009
472	1912.446292
473	1912.259883
474	1911.944149
475	1911.404269
476	1911.048578
477	1910.730879
478	1910.143856
479	1909.631395
480	1909.267672
481	1908.76478
482	1908.308857
483	1907.864366
484	1906.958085
485	1906.642853
486	1906.29936
487	1905.849079
488	1905.46784
489	1904.922817
490	1904.593785
491	1904.457158
492	1904.008444
493	1903.559784
494	1903.061129
495	1902.710436
496	1902.409641
497	1902.11431
498	1901.826137
499	1901.436828
500	1901.175477
501	1900.977996
502	1900.623116
503	1900.327803
504	1900.111193
505	1899.882186
506	1899.317974
507	1898.896917
508	1898.271328
509	1897.748715
510	1897.521513
511	1897.105853
512	1896.813838
513	1896.609871
514	1896.087508
515	1895.56526
516	1895.311576
517	1894.995652
518	1894.662949
519	1893.887373
520	1893.529061
521	1893.056718
522	1892.610201
523	1892.451047
524	1892.015572
525	1891.253613
526	1890.783786
527	1890.351116
528	1890.111777
529	1889.875249
530	1889.662377
531	1889.136918
532	1888.416905
533	1887.949805
534	1887.64304
535	1887.387829
536	1887.167423
537	1886.495331
538	1886.138691
539	1885.907349
540	1885.493605
541	1885.247683
542	1884.880641
543	1884.460617
544	1884.112215
545	1883.918369
546	1883.674395
547	1883.223288
548	1882.775707
549	1882.513305
550	1882.007527
551	1881.673487
552	1881.452335
553	1881.166751
554	1880.828622
555	1880.37885
556	1880.008318
557	1879.491556
558	1878.939724
559	1878.698017
560	1878.313599
561	1877.943213
562	1877.456316
563	1877.035661
564	1876.898127
565	1876.643661
566	1876.293823
567	1875.93077
568	1875.558685
569	1875.468394
570	1875.121133
571	1874.916443
572	1874.632554
573	1874.327942
574	1874.070023
575	1873.557731
576	1873.311165
577	1873.126595
578	1872.716665
579	1872.178697
580	1871.872608
581	1871.447796
582	1871.061222
583	1870.633711
584	1870.263037
585	1869.965962
586	1869.727172
587	1869.473187
588	1869.19967
589	1868.84464
590	1868.428574
591	1868.113211
592	1867.925653
593	1867.550816
594	1867.235265
595	1866.617489
596	1866.014805
597	1865.515614
598	1865.127154
599	1864.874221
600	1864.582792
601	1864.355063
602	1863.963292
603	1863.792756
604	1863.583715
605	1863.349818
606	1863.077264
607	1863.001343
608	1862.793998
609	1862.397434
610	1861.998018
611	1861.723658
612	1861.416191
613	1861.173211
614	1860.969286
615	1860.608767
616	1860.218061
617	1859.883044
618	1859.565686
619	1859.386585
620	1859.226859
621	1858.988385
622	1858.645958
623	1858.445784
624	1857.953887
625	1857.596719
626	1857.313056
627	1856.849971
628	1856.35491
629	1856.027257
630	1855.712055
631	1855.483106
632	1855.065263
633	1854.615945
634	1854.416469
635	1854.113569
636	1853.730093
637	1853.510145
638	1853.234067
639	1852.982799
640	1852.680129
641	1852.316833
642	1851.948678
643	1851.33037
644	1851.142487
645	1850.920374
646	1850.612861
647	1850.005146
648	1849.699921
649	1849.480028
650	1849.058161
651	1848.76202
652	1848.50048
653	1848.077178
654	1847.708884
655	1847.326921
656	1846.986231
657	1846.673027
658	1846.547947
659	1846.405089
660	1846.126996
661	1845.858295
662	1845.564416
663	1845.273136
664	1845.039188
665	1844.806402
666	1844.520022
667	1844.252908
668	1843.993016
669	1843.617395
670	1843.37244
671	1843.047401
672	1842.696345
673	1842.58203
674	1842.124978
675	1841.870555
676	1841.684272
677	1841.466016
678	1841.136544
679	1840.910424
680	1840.566513
681	1840.338747
682	1839.886231
683	1839.561504
684	1839.172924
685	1838.903766
686	1838.726598
687	1838.385825
688	1838.046485
689	1837.776282
690	1837.516212
691	1837.252452
692	1836.963996
693	1836.645468
694	1836.087464
695	1835.600796
696	1835.299344
697	1834.959705
698	1834.671979
699	1834.294495
700	1834.024533
701	1833.812307
702	1833.542947
703	1833.361289
704	1833.07075
705	1832.820561
706	1832.579599
707	1832.401923
708	1831.893138
709	1831.490825
710	1831.298876
711	1830.972846
712	1830.663225
713	1830.362531
714	1830.08101
715	1829.690345
716	1829.25638
717	1828.979409
718	1828.583414
719	1828.359613
720	1828.178927
721	1827.582777
722	1827.405493
723	1827.294705
724	1827.044081
725	1826.807128
726	1826.513657
727	1826.215884
728	1825.856056
729	1825.640119
730	1825.206838
731	1824.934189
732	1824.612897
733	1824.267304
734	1823.94024
735	1823.586466
736	1823.349157
737	1823.082254
738	1822.874615
739	1822.642902
740	1822.505867
741	1822.230801
742	1822.074852
743	1821.833256
744	1821.670645
745	1821.534353
746	1821.23142
747	1821.006495
748	1820.6679
749	1820.261292
750	1819.871087
751	1819.62079
752	1819.362285
753	1819.241513
754	1819.002545
755	1818.794269
756	1818.608368
757	1818.408196
758	1818.165178
759	1817.975592
760	1817.664877
761	1817.517581
762	1817.061248
763	1816.906956
764	1816.683776
765	1816.309864
766	1816.170624
767	1815.953982
768	1815.663627
769	1815.442991
770	1815.166158
771	1814.790663
772	1814.560383
773	1814.185207
774	1814.055613
